mse_SI_only,rsquare_SI_only,rsquare_all_features,mae,mse,rmse,mape,mspe,rse,runs,n_samples,iterations,comment
0.3344,-0.9396,0.3656,0.36422274,0.33438525,0.57826054,2.39552,20.37431,1.3926959,run1,300to400,3000,tok_embMpos_emb
0.3327,-0.9298,0.4075,0.36069036,0.33269188,0.5767945,2.5710752,21.546162,1.3891649,run1,200to400,3000,tok_embMpos_emb
0.3214,-0.8641,0.4747,0.3554566,0.3213682,0.56689346,2.000379,10.794024,1.3653191,run1,100to400,3000,tok_embMpos_emb
0.324,-0.8795,0.3226,0.35054284,0.32401562,0.5692237,2.1259081,12.380612,1.3709314,run1,000to400,3000,tok_embMpos_emb
0.0906,-0.7258,0.9837,0.24129687,0.09061477,0.3010229,5.2600503,298.40143,1.3137107,run2,300to400,3000,tok_embMpos_emb
0.0748,-0.4251,0.9911,0.23340383,0.074822284,0.27353662,5.369436,298.6051,1.1937563,run2,200to400,3000,tok_embMpos_emb
0.0624,-0.1889,0.9857,0.19255853,0.062424704,0.24984936,4.914328,297.05753,1.0903816,run2,100to400,3000,tok_embMpos_emb
0.0732,-0.3951,0.99,0.1879257,0.07324823,0.2706441,4.8726134,297.25742,1.181133,run2,000to400,3000,tok_embMpos_emb
0.0727,-2.0255,0.9878,0.24269372,0.072687015,0.2696053,6.352268,141.7821,1.7394029,run3,300to400,3000,tok_embMpos_emb
0.0833,-2.4688,0.9854,0.2592587,0.0833363,0.2886803,6.390567,130.6222,1.8624684,run3,200to400,3000,tok_embMpos_emb
0.0687,-1.8602,0.9891,0.22902231,0.06871514,0.2621357,5.173387,98.13767,1.6912118,run3,100to400,3000,tok_embMpos_emb
0.0709,-1.9506,0.9851,0.21879749,0.070887275,0.26624665,5.6971846,156.47284,1.717734,run3,000to400,3000,tok_embMpos_emb
0.0298,-0.7117,0.9819,0.13571198,0.02981935,0.1726828,1.968238,7.8027015,1.3083091,run4,300to400,3000,tok_embMpos_emb
0.0334,-0.9165,0.9937,0.13406026,0.033388168,0.1827243,1.4177217,2.9980705,1.3843871,run4,200to400,3000,tok_embMpos_emb
0.0347,-0.9908,0.9705,0.1583966,0.03468169,0.1862302,4.1419077,99.71298,1.4109491,run4,100to400,3000,tok_embMpos_emb
0.043,-1.4691,0.9714,0.15275097,0.04301483,0.20740017,2.654326,23.500216,1.5713407,run4,000to400,3000,tok_embMpos_emb
0.0382,-1.7396,0.9906,0.15955542,0.038213205,0.19548199,14.842832,2661.0925,1.6551822,run5,300to400,3000,tok_embMpos_emb
0.0187,-0.3422,0.997,0.10526401,0.018721802,0.13682763,3.94674,62.16039,1.158545,run5,200to400,3000,tok_embMpos_emb
0.0442,-2.168,0.9939,0.1630764,0.044187874,0.21020912,7.8901176,400.65634,1.7798797,run5,100to400,3000,tok_embMpos_emb
0.0383,-1.7468,0.984,0.146514,0.038312905,0.19573683,12.009396,1599.2029,1.6573402,run5,000to400,3000,tok_embMpos_emb
0.0849,-2.0257,0.9609,0.23664813,0.08494077,0.291446,4.253359,47.762962,1.7394512,run6,300to400,3000,tok_embMpos_emb
